scope,sample,h,method,model,q,term,n,status,coef_raw,effect_bp_per_sd
core,all,1,linear,M0,0.1,e_origin,2523,estimated,0.5041246993175144,4.860125175015042
core,all,1,linear,M0,0.1,downside,2523,estimated,-99797.71448638462,-1.7499383691125612
core,all,1,linear,M0,0.5,e_origin,2523,estimated,0.39166276439311803,3.7759111265922556
core,all,1,linear,M0,0.5,downside,2523,estimated,-54468.400245620745,-0.9550954546859466
core,all,1,linear,M0,0.9,e_origin,2523,estimated,0.32179160965744014,3.1023028733208577
core,all,1,linear,M0,0.9,downside,2523,estimated,17931.889680481723,0.3144330703770744
core,all,1,linear,M1,0.1,e_origin,2523,estimated,0.5009320158800609,4.82934540728847
core,all,1,linear,M1,0.1,downside,2523,estimated,-55602.293033475675,-0.9749780993551094
core,all,1,linear,M1,0.1,btc_vol,2523,estimated,-557.3066454841639,-1.1054522189321239
core,all,1,linear,M1,0.1,btc_ret,2523,estimated,233.06715145236052,1.2216754976338569
core,all,1,linear,M1,0.5,e_origin,2523,estimated,0.3915200931888178,3.7745356734301554
core,all,1,linear,M1,0.5,downside,2523,estimated,-86670.60337764632,-1.5197563902665536
core,all,1,linear,M1,0.5,btc_vol,2523,estimated,289.06088110046136,0.5733701455172399
core,all,1,linear,M1,0.5,btc_ret,2523,estimated,152.73633862236477,0.8006029220784082
core,all,1,linear,M1,0.9,e_origin,2523,estimated,0.3126279397477856,3.0139584956624454
core,all,1,linear,M1,0.9,downside,2523,estimated,-52554.4544217091,-0.9215346937917411
core,all,1,linear,M1,0.9,btc_vol,2523,estimated,645.7206806703565,1.2808269290190804
core,all,1,linear,M1,0.9,btc_ret,2523,estimated,119.09521571804157,0.6242651786040713
core,all,1,linear,M2,0.1,e_origin,2523,estimated,0.5032373382383621,4.8515703751293096
core,all,1,linear,M2,0.1,downside,2523,estimated,-60772.99208430623,-1.0656455531214655
core,all,1,linear,M2,0.1,btc_vol,2523,estimated,-509.7831846693265,-1.011186493528014
core,all,1,linear,M2,0.1,btc_ret,2523,estimated,211.65397383788437,1.109433363746386
core,all,1,linear,M2,0.1,account_ls,2523,estimated,0.631326176484641,0.37560650031927073
core,all,1,linear,M2,0.5,e_origin,2523,estimated,0.3965441433881278,3.822971135702213
core,all,1,linear,M2,0.5,downside,2523,estimated,-93536.51658031948,-1.6401491769570091
core,all,1,linear,M2,0.5,btc_vol,2523,estimated,214.4190626162888,0.4253134795200604
core,all,1,linear,M2,0.5,btc_ret,2523,estimated,157.19258575726673,0.8239613743621638
core,all,1,linear,M2,0.5,account_ls,2523,estimated,0.9298562487110933,0.5532164899658267
core,all,1,linear,M2,0.9,e_origin,2523,estimated,0.3043541781359076,2.9341934749118264
core,all,1,linear,M2,0.9,downside,2523,estimated,-77433.32144110801,-1.3577819986659914
core,all,1,linear,M2,0.9,btc_vol,2523,estimated,719.9214353003046,1.4280087175672038
