scope,sample,h,method,model,q,term,n,status,coef_raw,effect_bp_per_sd
core,all,1,linear,M0,0.1,e_origin,2523,estimated,0.46251283801784554,4.457818058737085
core,all,1,linear,M0,0.1,downside,2523,estimated,-140185.46578364083,-2.364759143768618
core,all,1,linear,M0,0.5,e_origin,2523,estimated,0.3755078904068941,3.6192419268360534
core,all,1,linear,M0,0.5,downside,2523,estimated,-74025.40743568556,-1.2487190317925447
core,all,1,linear,M0,0.9,e_origin,2523,estimated,0.3352210952447184,3.2309474012781285
core,all,1,linear,M0,0.9,downside,2523,estimated,21417.873317457867,0.36129360119047993
core,all,1,linear,M1,0.1,e_origin,2523,estimated,0.46637887760592883,4.495079945705259
core,all,1,linear,M1,0.1,downside,2523,estimated,-109978.83688141148,-1.8552098727392097
core,all,1,linear,M1,0.1,btc_vol,2523,estimated,-259.9370752371486,-0.5078021426268461
core,all,1,linear,M1,0.1,btc_ret,2523,estimated,266.9986720492147,1.2191306650428373
core,all,1,linear,M1,0.5,e_origin,2523,estimated,0.38510866334422456,3.7117766533558276
core,all,1,linear,M1,0.5,downside,2523,estimated,-101629.20006802586,-1.714361605115842
core,all,1,linear,M1,0.5,btc_vol,2523,estimated,252.80306690442146,0.49386544385630116
core,all,1,linear,M1,0.5,btc_ret,2523,estimated,118.91476437098223,0.5429713738212364
core,all,1,linear,M1,0.9,e_origin,2523,estimated,0.33006538425257037,3.181255328589024
core,all,1,linear,M1,0.9,downside,2523,estimated,-36503.124474354845,-0.6157635307934186
core,all,1,linear,M1,0.9,btc_vol,2523,estimated,494.3225247984109,0.9656877035041416
core,all,1,linear,M1,0.9,btc_ret,2523,estimated,121.85321665885738,0.5563885090617201
core,all,1,linear,M2,0.1,e_origin,2523,estimated,0.4519237792606506,4.355757978512825
core,all,1,linear,M2,0.1,downside,2523,estimated,-135311.9980468773,-2.2825496413216264
core,all,1,linear,M2,0.1,btc_vol,2523,estimated,-193.9932904940982,-0.37897713697925295
core,all,1,linear,M2,0.1,btc_ret,2523,estimated,280.3360839727659,1.280030023618344
