model,primary_model,n,days,q10_prediction_sd,q90_prediction_sd,clean_tail,clean_q10,coverage80,width80,worst_tail_h1,sensitivity_h1,worst_tail_h6,sensitivity_h6,worst_tail_h24,sensitivity_h24
tcn_tick_20260911_raw,False,1814,77,3.893326435842032,2.258167856288878,1.7242688716398782,1.6594239148993526,0.7783902976846747,24.718478486188324,1.8089265700912827,1.1134858662396045,1.9152289456037013,2.5624756224231655,1.9531433653527441,3.0598367064895546
tcn_tick_20260911_cal,False,1814,77,3.547522477625734,3.3356362529731176,1.7264855390595304,1.6637741777925374,0.7998897464167586,25.744580805290397,1.8084626781615534,1.1134858662396045,1.9102512562125704,2.5624756224231655,1.9460782720460843,3.0598367064895546
tcn_tick_20260912_raw,False,1814,77,2.3707681605452873,2.232091111979475,1.6654674362551087,1.6311284057251607,0.7701212789415656,23.60974176361122,1.7505779094774516,0.9527492838631392,1.8368558082474031,2.1598659586880147,1.873247378737689,2.7096747663344414
tcn_tick_20260912_cal,False,1814,77,2.7193541120194022,2.4423600272043333,1.6623048489372219,1.6198382964288685,0.7921719955898566,25.07904098875472,1.7395567711815334,0.9527492838631392,1.8208029914526158,2.1598659586880147,1.8545923502843378,2.7096747663344414
tcn_tick_ensemble_raw,True,1814,77,2.7411344949361247,1.8495338432311568,1.67586617501896,1.6145184347972479,0.7684674751929438,23.591415423893043,1.7497422445705937,0.8560238438290475,1.8396452214329284,2.0092935150311915,1.876557482857712,2.48199393599404
tcn_tick_ensemble_cal,True,1814,77,2.889078335320294,2.68593208264248,1.677811138486104,1.6188088886933727,0.7976846747519294,25.433229822382938,1.7454092921923603,0.8560238438290475,1.8295431116600127,2.009293515031191,1.8635638110361643,2.48199393599404
linear_clean_20260910_raw,False,1814,77,3.4962005849584137,2.5980425761155663,1.6790615802857605,1.641669993995815,0.7850055126791621,24.591863687535238,1.8610676134950137,2.822647399387128,2.0475049453069905,5.4826461498634815,2.1056549565719673,6.751322992581385
linear_clean_20260910_cal,False,1814,77,3.1855802792024357,3.123072275847721,1.6842496131178504,1.6491297896243533,0.8081587651598677,25.76907060010988,1.86099984459943,2.822647399387128,2.03879300001629,5.4826461498634815,2.1029370019717484,6.751322992581385
linear_clean_20260911_raw,False,1814,77,4.316228753086777,2.832183064195763,1.7236227677947293,1.6960510193170641,0.8081587651598677,26.243038031600143,1.9070685427589045,3.228839479181443,2.069306072757396,6.0023852727379,2.099290441160274,6.680072501843925
linear_clean_20260911_cal,False,1814,77,3.7108279093748417,3.6522191453941497,1.712896642233014,1.6820320424142678,0.7965821389195149,25.845218071849622,1.9048325358089209,3.228839479181443,2.066520763514389,6.0023852727379,2.107349442587455,6.680072501843925
linear_clean_20260912_raw,False,1814,77,3.865032421745584,3.1047521956614816,1.6705628607917757,1.6432446112565608,0.8015435501653804,25.380432456041774,1.8822277882703047,3.338649863313551,2.0660641759156855,5.96362745380717,2.130166255706625,7.236743963540192
linear_clean_20260912_cal,False,1814,77,3.8830607891468976,3.6065593905250246,1.6722482413952438,1.642239455619658,0.7921719955898566,24.941207630948448,1.8860673575256333,3.338649863313551,2.0774273662082647,5.96362745380717,2.145497973002489,7.236743963540192
linear_clean_ensemble_raw,True,1814,77,3.7671805991009073,2.6513763290082033,1.6786069381732618,1.645752880893459,0.7998897464167586,25.40511139172572,1.8675497878246765,3.1041378338781187,2.043905917686159,5.815792941906924,2.089261090500432,6.886622774561553
linear_clean_ensemble_cal,True,1814,77,3.450338982545878,3.2786072413492855,1.6773390513946775,1.6448819971159414,0.7998897464167586,25.389850868637087,1.8694300469799965,3.1041378338781187,2.045167937769545,5.815792941906924,2.0964386780641258,6.886622774561553
linear_shuffled_20260910_raw,False,1814,77,3.2529687570203647,2.414066736401279,1.6709570781084655,1.6394883452428985,0.7932745314222712,24.96632075914343,1.8470665212276032,2.66377295417323,2.01732201207696,5.254956174974536,2.0862659514896027,6.486454499464445
linear_shuffled_20260910_cal,False,1814,77,3.0302642227019247,2.6920548508936437,1.676970353502332,1.6440380148010307,0.8081587651598677,25.65467846149039,1.8520882513969994,2.66377295417323,2.0181477865588264,5.254956174974536,2.092152269879658,6.486454499464445
linear_shuffled_20260911_raw,False,1814,77,4.225402281083824,2.710457445372595,1.7479519006253272,1.700917138604846,0.7883131201764058,25.301578942181127,1.9151415134142056,2.925581662105489,2.070206796704311,5.317084066134435,2.1217499167051166,6.412331588213078
linear_shuffled_20260911_cal,False,1814,77,3.6107042562549085,3.714416734346554,1.7259210200525947,1.6899716249817671,0.798787210584344,25.64754264470878,1.8969528924456185,2.925581662105489,2.0433246045796047,5.317084066134435,2.109540582006746,6.412331588213078
linear_shuffled_20260912_raw,False,1814,77,3.908946316288595,2.9607415887417847,1.6715277924927774,1.6425675178867987,0.8031973539140022,25.429251085174123,1.881707108719686,3.3061108612830217,2.066524501908023,6.005545549645051,2.1361267318164225,7.3796300417533125
linear_shuffled_20260912_cal,False,1814,77,3.89938628577915,3.411765418315815,1.6726593440675643,1.640583971093767,0.7938257993384785,25.030106453729182,1.8849408956705356,3.3061108612830217,2.0751262510835913,6.005545549645051,2.1477950607086034,7.3796300417533125
linear_shuffled_ensemble_raw,True,1814,77,3.6561112799176416,2.394856558014333,1.6797448680598042,1.6470411092155612,0.8004410143329658,25.232383595499563,1.8629849878051319,2.9497867149274515,2.0318911272638895,5.523892256671214,2.0889336258889846,6.753577901439954
linear_shuffled_ensemble_cal,True,1814,77,3.3759197291822036,3.0159299914878277,1.6777221668573907,1.6448729201699808,0.798787210584344,25.398559121987237,1.8616405136235588,2.949786714927452,2.028474309930228,5.523892256671214,2.09251709368637,6.753577901439954
linear_tick_20260910_raw,False,1814,77,3.3710935679033915,2.5103696079574656,1.673844605484032,1.6377353300697834,0.7960308710033076,25.05393984864539,1.8371689484812985,2.5266170869720024,1.9880331831104157,4.876864619397013,2.047051929583464,6.088420065130131
linear_tick_20260910_cal,False,1814,77,3.114940229984936,2.993811839822334,1.6852416769358736,1.646117963419048,0.8081587651598677,25.737411663712003,1.8458035878336547,2.5266170869720024,1.9928263216914095,4.876864619397013,2.0555668664583,6.088420065130131
linear_tick_20260911_raw,False,1814,77,3.5598817702511343,2.6076654249828723,1.7036534198060866,1.663309453618147,0.794928335170893,25.231100172428732,1.849334066453944,2.3146375931610477,1.9803976770180172,4.3045779922699845,2.0311941994583185,5.318904861988543
linear_tick_20260911_cal,False,1814,77,2.9848670518105345,3.418928388945165,1.6979390416988231,1.6641583758426939,0.8042998897464168,25.748310757079086,1.8413368020139118,2.3146375931610477,1.966208308866976,4.3045779922699845,2.025873772264555,5.318904861988543
linear_tick_20260912_raw,False,1814,77,3.6644067883215654,2.885007255983819,1.669287726814898,1.6341340582296822,0.7883131201764058,24.634371757507324,1.85430523451244,2.887402314466836,2.0175698742216452,5.042828575384525,2.0749753435257605,6.176657448792799
linear_tick_20260912_cal,False,1814,77,3.9072228634495363,3.2764404951332358,1.6740884458869476,1.6393281192506393,0.7971334068357222,25.09519940041827,1.8592254869546514,2.887402314466836,2.018266276959872,5.042828575384525,2.0826629746716327,6.176657448792799
linear_tick_ensemble_raw,True,1814,77,3.449902758061526,2.525755488653576,1.6737709874815883,1.6377532290790402,0.7976846747519294,24.973137259527146,1.8335608730041126,2.5447962982432886,1.978035699500294,4.737170887799527,2.0305005901208024,5.85742135934644
linear_tick_ensemble_cal,True,1814,77,3.239071278959566,3.0824895468001663,1.6772964825654084,1.6400309161339308,0.802646085997795,25.480517242368514,1.8358563957113203,2.544796298243289,1.9766764724062402,4.737170887799528,2.035057460174561,5.85742135934644
exact_qr_raw,True,1814,77,2.982665524195541,1.7338497616970692,1.6590161724372878,1.60404374041877,0.7723263506063948,23.496580287739054,1.778469417636491,1.7211741608182056,1.8763542685880457,3.2290890142754725,1.8826029753349849,3.3163492213514383
exact_qr_cal,True,1814,77,2.926383416912419,2.3539215784622733,1.6543679973358576,1.6111705227118982,0.7982359426681367,25.196198359831996,1.7735566337346742,1.7211741608182056,1.8681950514853136,3.2290890142754725,1.8735473001203886,3.3163492213514383
lgbm_raw,True,1814,77,4.16076180979884,1.8953520514391213,1.7338904195693634,1.7107054083301307,0.7188533627342889,21.692809378116277,2.015059318478342,6.086247424707456,2.1653839674780633,8.826135450064283,2.1836272996377573,8.870686708509014
lgbm_cal,True,1814,77,4.381357431629696,2.672189748304743,1.7025942482115255,1.681870675122559,0.7998897464167586,25.504074716819407,1.98102216336705,6.086247424707457,2.126868534606634,8.826135450064283,2.140030089384415,8.870686708509014
