month,method,feature,bin,n,residual_mean_bp,cuts
2025-08,sequential_ols,m,0,24,0.7638509849471955,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,sequential_ols,m,1,71,1.18381815469629,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,sequential_ols,m,2,178,2.1170196539343897,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,sequential_ols,m,3,76,-0.09557021001698944,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,sequential_ols,m,4,8,-3.0416521255155224,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,sequential_ols,g,0,167,2.9201815930462334,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,sequential_ols,g,1,83,1.3174475219461732,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,sequential_ols,g,2,34,1.363364490961643,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,sequential_ols,g,3,36,0.06236346808949817,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,sequential_ols,g,4,37,-5.351391617489078,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,pca_1,m,0,24,0.5758260664170264,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,pca_1,m,1,71,1.1008511605982527,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,pca_1,m,2,178,2.1538726707077487,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,pca_1,m,3,76,0.06410887573141011,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,pca_1,m,4,8,-2.7768039381570304,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,pca_1,g,0,167,2.985370049124844,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,pca_1,g,1,83,1.3838087372875691,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,pca_1,g,2,34,1.3842079590204457,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,pca_1,g,3,36,-0.058716583128319004,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,pca_1,g,4,37,-5.414452988648598,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,pca_2,m,0,24,1.3914856665266424,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,pca_2,m,1,71,-0.6117115772438153,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,pca_2,m,2,178,-0.12804830683992893,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,pca_2,m,3,76,2.1365512134375124,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,pca_2,m,4,8,4.828698065899019,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,pca_2,g,0,167,2.09745436561361,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,pca_2,g,1,83,0.06217891849012767,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,pca_2,g,2,34,-0.6299622339325482,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,pca_2,g,3,36,0.1331710051010519,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,pca_2,g,4,37,-4.6116799291573125,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,conditional_linear,m,0,24,-1.8318974540140858,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,conditional_linear,m,1,71,-1.277922507336601,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,conditional_linear,m,2,178,2.984734017525482,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,conditional_linear,m,3,76,2.630017908046423,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,conditional_linear,m,4,8,5.935233510185633,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,conditional_linear,g,0,167,2.789141367184232,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,conditional_linear,g,1,83,2.555732637398329,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,conditional_linear,g,2,34,2.037133779665906,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,conditional_linear,g,3,36,-0.5186736055656387,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,conditional_linear,g,4,37,-2.2852667199133405,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,ae_relu_1,m,0,24,0.5759239783559534,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,ae_relu_1,m,1,71,1.1008075870194434,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,ae_relu_1,m,2,178,2.15377207890284,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,ae_relu_1,m,3,76,0.06406791816727482,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,ae_relu_1,m,4,8,-2.7767535125530607,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,ae_relu_1,g,0,167,2.9852965213590195,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,ae_relu_1,g,1,83,1.3837094826996643,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,ae_relu_1,g,2,34,1.384100122104853,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,ae_relu_1,g,3,36,-0.05873672357890694,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,ae_relu_1,g,4,37,-5.414357036482039,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,ae_relu_2,m,0,24,0.67165733947138,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,ae_relu_2,m,1,71,1.1416699607285956,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,ae_relu_2,m,2,178,2.1340411644982207,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,ae_relu_2,m,3,76,-0.015708648962754,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,ae_relu_2,m,4,8,-2.904557476802303,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,ae_relu_2,g,0,167,2.952052783222434,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,ae_relu_2,g,1,83,1.3495202406815818,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,ae_relu_2,g,2,34,1.3721323020250091,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,ae_relu_2,g,3,36,0.0011866719100825682,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,ae_relu_2,g,4,37,-5.380834046707898,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,ae_tanh_1,m,0,24,-4.324572556905912,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,ae_tanh_1,m,1,71,-0.778900922455579,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,ae_tanh_1,m,2,178,5.786436105376151,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,ae_tanh_1,m,3,76,4.303508754491428,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,ae_tanh_1,m,4,8,-6.351413585803474,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,ae_tanh_1,g,0,167,4.205340972662135,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,ae_tanh_1,g,1,83,3.490637498196424,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,ae_tanh_1,g,2,34,3.4330417599526717,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,ae_tanh_1,g,3,36,0.540255732494341,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,ae_tanh_1,g,4,37,0.5124809610465042,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,ae_tanh_2,m,0,24,-3.4306797166852654,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,ae_tanh_2,m,1,71,-1.5218157511938217,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,ae_tanh_2,m,2,178,4.740918194993516,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,ae_tanh_2,m,3,76,5.10351209487136,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,ae_tanh_2,m,4,8,-3.505247634054637,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,ae_tanh_2,g,0,167,4.639456185249579,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,ae_tanh_2,g,1,83,3.3799019697473858,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,ae_tanh_2,g,2,34,2.95040658768697,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,ae_tanh_2,g,3,36,-1.163486865210071,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,ae_tanh_2,g,4,37,-2.7142215661643943,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,conditional_neural,m,0,24,1.8636592933489116,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,conditional_neural,m,1,71,1.1148829957792123,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,conditional_neural,m,2,178,1.7998042251244277,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,conditional_neural,m,3,76,-0.8522383342110998,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,conditional_neural,m,4,8,0.1320478264252145,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,conditional_neural,g,0,167,2.102024371567459,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,conditional_neural,g,1,83,1.2395878995237168,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,conditional_neural,g,2,34,1.1347706109988152,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,conditional_neural,g,3,36,0.9834520786809057,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,conditional_neural,g,4,37,-3.9830920079595176,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,pca_selected,m,0,24,0.5758260664170264,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,pca_selected,m,1,71,1.1008511605982527,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,pca_selected,m,2,178,2.1538726707077487,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,pca_selected,m,3,76,0.06410887573141011,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,pca_selected,m,4,8,-2.7768039381570304,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,pca_selected,g,0,167,2.985370049124844,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,pca_selected,g,1,83,1.3838087372875691,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,pca_selected,g,2,34,1.3842079590204457,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,pca_selected,g,3,36,-0.058716583128319004,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,pca_selected,g,4,37,-5.414452988648598,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,ae_selected,m,0,24,0.5759239783559534,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,ae_selected,m,1,71,1.1008075870194434,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,ae_selected,m,2,178,2.15377207890284,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,ae_selected,m,3,76,0.06406791816727482,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,ae_selected,m,4,8,-2.7767535125530607,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,ae_selected,g,0,167,2.9852965213590195,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,ae_selected,g,1,83,1.3837094826996643,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
