scope,method,variant,n,status,term,coef_raw,effect_bp_per_sd
core,sequential_ols,Aug_Nov,926,estimated,e_origin,0.37335905346523407,3.6254669378398017
core,sequential_ols,Aug_Nov,926,estimated,downside,37499.048443924214,0.6118238478054921
core,sequential_ols,Aug_Nov,926,estimated,btc_vol,9.530474648166797,0.018492773739696076
core,sequential_ols,Aug_Nov,926,estimated,account_ls,0.14230426370381696,0.09015336741787316
core,sequential_ols,Dec_Mar,800,estimated,e_origin,0.2658358364479718,2.581373150028233
core,sequential_ols,Dec_Mar,800,estimated,downside,-161204.57429038506,-2.630168151431321
core,sequential_ols,Dec_Mar,800,estimated,btc_vol,258.15019888337304,0.5009103318611766
core,sequential_ols,Dec_Mar,800,estimated,account_ls,3.324079247987346,2.1058886780346877
core,sequential_ols,exclude_top1_downside_days,1716,estimated,e_origin,0.328657484308942,3.191396678818248
core,sequential_ols,exclude_top1_downside_days,1716,estimated,downside,-61655.053007594746,-1.005946372857099
core,sequential_ols,exclude_top1_downside_days,1716,estimated,btc_vol,-388.7154384898211,-0.7542569408651347
core,sequential_ols,exclude_top1_downside_days,1716,estimated,account_ls,1.483254385458761,0.9396793469572523
core,sequential_ols,exclude_top5_downside_days,1672,estimated,e_origin,0.2680395792898975,2.6027723815153214
core,sequential_ols,exclude_top5_downside_days,1672,estimated,downside,77364.48833583924,1.2622570678804914
core,sequential_ols,exclude_top5_downside_days,1672,estimated,btc_vol,-985.2190374640877,-1.9117025559025087
core,sequential_ols,exclude_top5_downside_days,1672,estimated,account_ls,0.8181834165860387,0.5183399868061257
core,pca_1,Aug_Nov,926,estimated,e_origin,0.3820611548791892,3.692235094195708
core,pca_1,Aug_Nov,926,estimated,downside,42959.68056395035,0.7009179740236728
core,pca_1,Aug_Nov,926,estimated,btc_vol,-0.515131622384293,-0.0009995527915021183
core,pca_1,Aug_Nov,926,estimated,account_ls,-0.012586519565805362,-0.007973880004678063
core,pca_1,Dec_Mar,800,estimated,e_origin,0.26298986304645905,2.5415313474223873
core,pca_1,Dec_Mar,800,estimated,downside,-167739.8262667107,-2.736795470695521
core,pca_1,Dec_Mar,800,estimated,btc_vol,281.43086470143527,0.5460837467619458
core,pca_1,Dec_Mar,800,estimated,account_ls,3.3983555124738043,2.1529445791608266
core,pca_1,exclude_top1_downside_days,1716,estimated,e_origin,0.3283700285207343,3.173364598056763
core,pca_1,exclude_top1_downside_days,1716,estimated,downside,-48684.10413641513,-0.7943160468257396
