scenario,scope,sample,h,method,n,days
clock_UTC_quote,core,all,1,linear,2523,198
clock_UTC_quote,core,all,1,pca,2523,198
clock_UTC_quote,core,all,1,ml,2523,198
clock_UTC_quote,core,all,1,joint_linear,2523,198
clock_UTC_quote,core,matched,1,linear,724,179
clock_UTC_quote,core,matched,1,pca,724,179
clock_UTC_quote,core,matched,1,ml,724,179
clock_UTC_quote,core,matched,1,joint_linear,724,179
clock_UTC_quote,core,all,6,linear,1726,198
clock_UTC_quote,core,all,6,pca,1726,198
clock_UTC_quote,core,all,6,ml,1726,198
clock_UTC_quote,core,all,6,joint_linear,1726,198
clock_UTC_quote,core,matched,6,linear,724,179
clock_UTC_quote,core,matched,6,pca,724,179
clock_UTC_quote,core,matched,6,ml,724,179
clock_UTC_quote,core,matched,6,joint_linear,724,179
clock_UTC_quote,core,all,12,linear,1340,179
clock_UTC_quote,core,all,12,pca,1340,179
clock_UTC_quote,core,all,12,ml,1340,179
clock_UTC_quote,core,all,12,joint_linear,1340,179
clock_UTC_quote,core,matched,12,linear,724,179
clock_UTC_quote,core,matched,12,pca,724,179
clock_UTC_quote,core,matched,12,ml,724,179
clock_UTC_quote,core,matched,12,joint_linear,724,179
clock_UTC_quote,full_macro,all,1,linear,1053,163
clock_UTC_quote,full_macro,all,1,pca,1053,163
clock_UTC_quote,full_macro,all,1,ml,1053,163
clock_UTC_quote,full_macro,all,1,joint_linear,1053,163
clock_UTC_quote,full_macro,matched,1,linear,0,0
clock_UTC_quote,full_macro,matched,1,pca,0,0
clock_UTC_quote,full_macro,matched,1,ml,0,0
clock_UTC_quote,full_macro,matched,1,joint_linear,0,0
clock_UTC_quote,full_macro,all,6,linear,238,163
clock_UTC_quote,full_macro,all,6,pca,238,163
clock_UTC_quote,full_macro,all,6,ml,238,163
clock_UTC_quote,full_macro,all,6,joint_linear,238,163
clock_UTC_quote,full_macro,matched,6,linear,0,0
clock_UTC_quote,full_macro,matched,6,pca,0,0
clock_UTC_quote,full_macro,matched,6,ml,0,0
clock_UTC_quote,full_macro,matched,6,joint_linear,0,0
clock_UTC_quote,full_macro,all,12,linear,593,128
clock_UTC_quote,full_macro,all,12,pca,593,128
clock_UTC_quote,full_macro,all,12,ml,593,128
clock_UTC_quote,full_macro,all,12,joint_linear,593,128
clock_UTC_quote,full_macro,matched,12,linear,0,0
clock_UTC_quote,full_macro,matched,12,pca,0,0
clock_UTC_quote,full_macro,matched,12,ml,0,0
clock_UTC_quote,full_macro,matched,12,joint_linear,0,0
clock_NY_quote,core,all,1,linear,2524,164
clock_NY_quote,core,all,1,pca,2524,164
clock_NY_quote,core,all,1,ml,2524,164
clock_NY_quote,core,all,1,joint_linear,2524,164
clock_NY_quote,core,matched,1,linear,728,164
clock_NY_quote,core,matched,1,pca,728,164
clock_NY_quote,core,matched,1,ml,728,164
clock_NY_quote,core,matched,1,joint_linear,728,164
clock_NY_quote,core,all,6,linear,1730,164
clock_NY_quote,core,all,6,pca,1730,164
clock_NY_quote,core,all,6,ml,1730,164
clock_NY_quote,core,all,6,joint_linear,1730,164
clock_NY_quote,core,matched,6,linear,728,164
clock_NY_quote,core,matched,6,pca,728,164
clock_NY_quote,core,matched,6,ml,728,164
clock_NY_quote,core,matched,6,joint_linear,728,164
clock_NY_quote,core,all,12,linear,1344,164
clock_NY_quote,core,all,12,pca,1344,164
clock_NY_quote,core,all,12,ml,1344,164
clock_NY_quote,core,all,12,joint_linear,1344,164
clock_NY_quote,core,matched,12,linear,728,164
clock_NY_quote,core,matched,12,pca,728,164
clock_NY_quote,core,matched,12,ml,728,164
clock_NY_quote,core,matched,12,joint_linear,728,164
clock_NY_quote,full_macro,all,1,linear,1050,163
clock_NY_quote,full_macro,all,1,pca,1050,163
clock_NY_quote,full_macro,all,1,ml,1050,163
clock_NY_quote,full_macro,all,1,joint_linear,1050,163
clock_NY_quote,full_macro,matched,1,linear,0,0
clock_NY_quote,full_macro,matched,1,pca,0,0
clock_NY_quote,full_macro,matched,1,ml,0,0
clock_NY_quote,full_macro,matched,1,joint_linear,0,0
clock_NY_quote,full_macro,all,6,linear,238,163
clock_NY_quote,full_macro,all,6,pca,238,163
clock_NY_quote,full_macro,all,6,ml,238,163
clock_NY_quote,full_macro,all,6,joint_linear,238,163
clock_NY_quote,full_macro,matched,6,linear,0,0
clock_NY_quote,full_macro,matched,6,pca,0,0
clock_NY_quote,full_macro,matched,6,ml,0,0
clock_NY_quote,full_macro,matched,6,joint_linear,0,0
clock_NY_quote,full_macro,all,12,linear,593,128
clock_NY_quote,full_macro,all,12,pca,593,128
clock_NY_quote,full_macro,all,12,ml,593,128
clock_NY_quote,full_macro,all,12,joint_linear,593,128
clock_NY_quote,full_macro,matched,12,linear,0,0
clock_NY_quote,full_macro,matched,12,pca,0,0
clock_NY_quote,full_macro,matched,12,ml,0,0
clock_NY_quote,full_macro,matched,12,joint_linear,0,0
clock_FXUTC_USNY_quote,core,all,1,linear,2523,198
clock_FXUTC_USNY_quote,core,all,1,pca,2523,198
clock_FXUTC_USNY_quote,core,all,1,ml,2523,198
clock_FXUTC_USNY_quote,core,all,1,joint_linear,2523,198
clock_FXUTC_USNY_quote,core,matched,1,linear,724,179
clock_FXUTC_USNY_quote,core,matched,1,pca,724,179
clock_FXUTC_USNY_quote,core,matched,1,ml,724,179
clock_FXUTC_USNY_quote,core,matched,1,joint_linear,724,179
clock_FXUTC_USNY_quote,core,all,6,linear,1726,198
clock_FXUTC_USNY_quote,core,all,6,pca,1726,198
clock_FXUTC_USNY_quote,core,all,6,ml,1726,198
clock_FXUTC_USNY_quote,core,all,6,joint_linear,1726,198
