mode,definition,fold,removed_group,procedure,seed,candidate,kind,window,form,params,inner_score,inner_months,train_n,test_n,features,interaction_pairs,train_last_label,first_origin
available_macro,CAP,2025-12,global_btc,retuned,20260925,39,boosting,all,change,"{'max_depth': 1, 'n_estimators': 150, 'min_samples_leaf': 20}",1.17085580673845,"['2025-09', '2025-10', '2025-11']",1862,313,"['e_now', 'e_change1', 'dxy_ret1', 'fx_ret1', 'vix_ret1', 'local_volume_surprise', 'vix_known_log', 'vix_known_age_hours', 'dxy_known_age_hours', 'hour_sin', 'hour_cos', 'weekend', 'account_log', 'funding_bp', 'oi_ret1', 'oi_surprise', 'account_change1', 'account_change24', 'funding_change8', 'oi_change24']",[],2025-11-28T17:00:00+00:00,2025-12-01T03:00:00+00:00
available_macro,EQ,2026-02,fx_macro,retuned,20260925,52,qrf,all,change,"{'max_depth': None, 'min_samples_leaf': 20, 'max_features': 0.7}",1.6051275398398674,"['2025-11', '2025-12', '2026-01']",2469,280,"['e_now', 'e_change1', 'downside24', 'btc_vol24', 'btc_ret1', 'local_volume_surprise', 'hour_sin', 'hour_cos', 'weekend', 'account_log', 'funding_bp', 'oi_ret1', 'oi_surprise', 'account_change1', 'account_change24', 'funding_change8', 'oi_change24']",[],2026-01-30T17:00:00+00:00,2026-02-02T03:00:00+00:00
available_macro,EQ,2026-03,global_btc,retuned,20260925,58,qrf,90,change,"{'max_depth': None, 'min_samples_leaf': 20, 'max_features': 0.7}",1.668701742854403,"['2025-12', '2026-01', '2026-02']",887,201,"['e_now', 'e_change1', 'dxy_ret1', 'fx_ret1', 'vix_ret1', 'local_volume_surprise', 'vix_known_log', 'vix_known_age_hours', 'dxy_known_age_hours', 'hour_sin', 'hour_cos', 'weekend', 'account_log', 'funding_bp', 'oi_ret1', 'oi_surprise', 'account_change1', 'account_change24', 'funding_change8', 'oi_change24']",[],2026-02-27T17:00:00+00:00,2026-03-02T03:00:00+00:00
available_macro,CAP,2025-12,local_volume,retuned,20260925,39,boosting,all,change,"{'max_depth': 1, 'n_estimators': 150, 'min_samples_leaf': 20}",1.1711913775423417,"['2025-09', '2025-10', '2025-11']",1862,313,"['e_now', 'e_change1', 'downside24', 'btc_vol24', 'btc_ret1', 'dxy_ret1', 'fx_ret1', 'vix_ret1', 'vix_known_log', 'vix_known_age_hours', 'dxy_known_age_hours', 'hour_sin', 'hour_cos', 'weekend', 'account_log', 'funding_bp', 'oi_ret1', 'oi_surprise', 'account_change1', 'account_change24', 'funding_change8', 'oi_change24']",[],2025-11-28T17:00:00+00:00,2025-12-01T03:00:00+00:00
available_macro,CAP,2025-12,fx_macro,retuned,20260925,39,boosting,all,change,"{'max_depth': 1, 'n_estimators': 150, 'min_samples_leaf': 20}",1.170115209617568,"['2025-09', '2025-10', '2025-11']",1862,313,"['e_now', 'e_change1', 'downside24', 'btc_vol24', 'btc_ret1', 'local_volume_surprise', 'hour_sin', 'hour_cos', 'weekend', 'account_log', 'funding_bp', 'oi_ret1', 'oi_surprise', 'account_change1', 'account_change24', 'funding_change8', 'oi_change24']",[],2025-11-28T17:00:00+00:00,2025-12-01T03:00:00+00:00
available_macro,CAP,2026-01,global_btc,retuned,20260925,39,boosting,all,change,"{'max_depth': 1, 'n_estimators': 150, 'min_samples_leaf': 20}",1.2134275683822786,"['2025-10', '2025-11', '2025-12']",2175,294,"['e_now', 'e_change1', 'dxy_ret1', 'fx_ret1', 'vix_ret1', 'local_volume_surprise', 'vix_known_log', 'vix_known_age_hours', 'dxy_known_age_hours', 'hour_sin', 'hour_cos', 'weekend', 'account_log', 'funding_bp', 'oi_ret1', 'oi_surprise', 'account_change1', 'account_change24', 'funding_change8', 'oi_change24']",[],2025-12-31T17:00:00+00:00,2026-01-02T03:00:00+00:00
available_macro,EQ,2026-03,local_volume,retuned,20260925,58,qrf,90,change,"{'max_depth': None, 'min_samples_leaf': 20, 'max_features': 0.7}",1.6646907810703993,"['2025-12', '2026-01', '2026-02']",887,201,"['e_now', 'e_change1', 'downside24', 'btc_vol24', 'btc_ret1', 'dxy_ret1', 'fx_ret1', 'vix_ret1', 'vix_known_log', 'vix_known_age_hours', 'dxy_known_age_hours', 'hour_sin', 'hour_cos', 'weekend', 'account_log', 'funding_bp', 'oi_ret1', 'oi_surprise', 'account_change1', 'account_change24', 'funding_change8', 'oi_change24']",[],2026-02-27T17:00:00+00:00,2026-03-02T03:00:00+00:00
available_macro,EQ,2026-02,global_btc,retuned,20260925,52,qrf,all,change,"{'max_depth': None, 'min_samples_leaf': 20, 'max_features': 0.7}",1.603247067236383,"['2025-11', '2025-12', '2026-01']",2469,280,"['e_now', 'e_change1', 'dxy_ret1', 'fx_ret1', 'vix_ret1', 'local_volume_surprise', 'vix_known_log', 'vix_known_age_hours', 'dxy_known_age_hours', 'hour_sin', 'hour_cos', 'weekend', 'account_log', 'funding_bp', 'oi_ret1', 'oi_surprise', 'account_change1', 'account_change24', 'funding_change8', 'oi_change24']",[],2026-01-30T17:00:00+00:00,2026-02-02T03:00:00+00:00
available_macro,CAP,2026-01,local_volume,retuned,20260925,39,boosting,all,change,"{'max_depth': 1, 'n_estimators': 150, 'min_samples_leaf': 20}",1.213755100388375,"['2025-10', '2025-11', '2025-12']",2175,294,"['e_now', 'e_change1', 'downside24', 'btc_vol24', 'btc_ret1', 'dxy_ret1', 'fx_ret1', 'vix_ret1', 'vix_known_log', 'vix_known_age_hours', 'dxy_known_age_hours', 'hour_sin', 'hour_cos', 'weekend', 'account_log', 'funding_bp', 'oi_ret1', 'oi_surprise', 'account_change1', 'account_change24', 'funding_change8', 'oi_change24']",[],2025-12-31T17:00:00+00:00,2026-01-02T03:00:00+00:00
available_macro,EQ,2026-03,fx_macro,retuned,20260925,83,threshold,90,change,"{'band': [0.35, 0.65], 'alpha': 0.01}",1.675755248333052,"['2025-12', '2026-01', '2026-02']",887,201,"['e_now', 'e_change1', 'downside24', 'btc_vol24', 'btc_ret1', 'local_volume_surprise', 'hour_sin', 'hour_cos', 'weekend', 'account_log', 'funding_bp', 'oi_ret1', 'oi_surprise', 'account_change1', 'account_change24', 'funding_change8', 'oi_change24']",[],2026-02-27T17:00:00+00:00,2026-03-02T03:00:00+00:00
